OpeningOperationItemId,OpeningOperationRef,RecordType,RecordId,Checked,Version
359,2,4,12,True,2
360,2,4,15,True,2
361,2,4,18,True,2
362,2,4,20,True,2
363,2,4,30,True,2
364,2,4,32,True,2
365,2,4,33,True,2
366,2,4,36,True,2
367,2,4,37,True,2
368,2,4,38,True,2
369,2,4,49,True,2
370,2,4,67,True,2
371,2,4,163,True,2
372,2,4,168,True,2
373,2,5,26,True,1
374,2,5,88,True,1
375,2,5,90,True,1
376,2,5,92,True,1
377,2,5,96,True,1
378,2,5,102,True,1
379,2,5,103,True,1
380,2,5,105,True,1
381,2,5,107,True,1
382,2,5,108,True,1
383,2,5,110,True,1
384,2,5,111,True,1
385,2,5,114,True,1
386,2,5,116,True,1
387,2,5,117,True,1
388,2,5,120,True,1
389,2,5,123,True,1
390,2,5,151,True,1
391,2,5,152,True,1
392,2,5,153,True,1
393,2,5,154,True,1
394,2,5,157,True,1
395,2,5,158,True,1
396,2,5,161,True,1
397,2,5,162,True,1
398,2,8,213,True,2
399,2,8,214,True,2
400,2,8,224,True,2
401,2,7,423,True,2
402,2,7,440,True,2
403,2,7,457,True,2
404,2,7,458,True,2
405,2,7,461,True,2
406,2,7,462,True,2
407,2,7,463,True,2
408,2,7,465,True,2
409,2,7,466,True,2
410,2,7,502,True,2
411,2,7,568,True,2
412,2,7,729,True,2
413,2,7,730,True,2
414,2,7,731,True,2
415,2,7,732,True,2
416,2,7,733,True,2
417,2,7,734,True,2
418,2,7,464,True,2
419,2,7,736,True,2
544,2,8,1583,True,2
