TableName,LastId
,22
ACC.Account,931
ACC.AccountTopic,417
ACC.DL,253
ACC.OpeningOperation,25
ACC.OpeningOperationItem,544
ACC.Topic,507
ACC.Voucher,1213
ACC.VoucherItem,77433
AST.AssetClass,13
AST.AssetGroup,20
AST.Emplacement,1
CNT.Contract,0
CNT.ContractCoefficientItem,0
CNT.ContractEmployerMaterialsItem,0
CNT.ContractPreReceiptItem,0
CNT.ContractSupportingInsurance,0
CNT.ContractWorkshopItem,0
CNT.Guarantee,0
CNT.StatusCoefficientItem,10
DST.CustomerReceiptInfoPos,0
DST.OrderingScheduleRelatedActivities,0
Fmk.Configuration,320
FMK.ExtraColumnDescription,53
FMK.ExtraData,11011
FMK.FAQ,2295
FMK.FiscalYear,7
FMK.ImportExportTemplate,23
FMK.NumberedEntity,121
FMK.StandardDescription,2
FMK.User,16
FMK.UserAccess,9745
FMK.UserConfiguration,16
FMK.UserPhone,3
FMK.UserReports,35
Fmk.Version,32
GNR.AutomaticBackupConfig,1
GNR.Backup,513
GNR.Bill,7
GNR.BillItem,8241
GNR.CalculationElement,6
GNR.CalculationFormula,4
GNR.CostCenter,13
GNR.Currency,6
GNR.CurrencyExchangeRate,2
Gnr.DebitCreditNote,37
Gnr.DebitCreditNoteItem,32
GNR.DeliveryLocation,2
GNR.Grouping,124
GNR.Location,9379
GNR.MarketingDiskette,1
GNR.MarketingDiskette1396,2
GNR.MarketingDisketteCurrency,143
GNR.MarketingDisketteCurrencyMapper,7
GNR.MarketingDisketteItem1396,28019
GNR.MarketingDiskettePartyMapper,149
GNR.MarketingDiskettItemCategoryMapper,363
GNR.Party,231
GNR.PartyAddress,5
GNR.PartyOpeningBalance,375
GNR.PartyPhone,11
GNR.PartyRelated,7
GNR.Reminder,21
GNR.Shred,27
GNR.ShredInfo,9
GNR.ShredItem,191
GNR.TaxPayerBill.UniqueNumber,1000
GNR.TaxPayerCurrency,143
GNR.TaxPayerCurrencyMapper,2
GNR.TaxPayerItemMapping,726
GNR.TaxPayerPartyMapping,178
GNR.TaxPayerUnit,99
GNR.TaxPayerUnitMapper,30
GNR.Vat,1
INV.CompoundBarcode,1
INV.InventoryBalancing,33
INV.InventoryBalancingItem,6494
INV.InventoryDelivery,27307
INV.InventoryDeliveryItem,84059
INV.InventoryPricing,24
INV.InventoryPricingVoucher,7176
INV.InventoryPricingVoucherItem,423
INV.InventoryPurchaseInvoice,39
INV.InventoryPurchaseInvoiceItem,63
INV.InventoryReceipt,4386
INV.InventoryReceiptItem,9562
INV.Item,2316
INV.ItemPropertyAmount,867
INV.ItemStock,2954
INV.ItemStockSummary,1632
INV.PricingItemPrice,7075
INV.ProducedItemPrice,148
INV.Property,10
INV.PropertyDetail,15
INV.Stock,20
INV.TracingCategory,2
INV.Unit,16
MRP.ManagementReportGrouping,63
MRP.ManagementReportState,38
MSG.Template,11
MSG.TemplateContact,11
MSG.TemplateFilter,4
MSG.TemplateScheduling,2
PAY.Branch,2
PAY.Contract,8
PAY.ContractElement,13
PAY.DailyHourMinute,16
PAY.Element,2001
PAY.ElementItem,430000
PAY.Job,13
PAY.Loan,2
PAY.MonthlyData,3
PAY.PayrollCalendar,203
PAY.PayrollConfiguration,100
PAY.PayrollConfigurationCalendar,100
PAY.PayrollConfigurationElement,205
PAY.Personnel,86
PAY.PersonnelTaxFileInfoChangeLog,63
Pay.TaxGroup,3
Pay.TaxTable,66
Pay.TaxTableItem,230
PAY.WorkExperience,1
PAY.Worksite,4
Rpa.AccountType,1401
Rpa.Bank,114
RPA.BankAccount,31
RPA.BankAccountBalance,1
RPA.BankBranch,16
Rpa.Cash,1
RPA.ChequeBook,6
rpa.PartyAccountSettlement,51
rpa.PartyAccountSettlementItem,2161
RPA.PartySettlement,1
RPA.PartySettlementItem,1
RPA.PaymentCheque,85
RPA.PaymentChequeBanking,31
RPA.PaymentChequeBankingItem,36
RPA.PaymentChequeHistory,93
RPA.PaymentDraft,7597
RPA.PaymentHeader,1688
RPA.Pos,5
RPA.PosSettlement,10
RPA.PosSettlementReceipt,14
RPA.ReceiptCheque,2
RPA.ReceiptChequeBanking,1
RPA.ReceiptDraft,9256
RPA.ReceiptHeader,8653
RPA.ReceiptPos,17
RPA.Reconciliation,1
RPA.RefundCheque,7
RPA.RefundChequeItem,7
SCD.Scheduling,1
SCD.SchedulingItem,1095
SLS.AdditionFactor,1
SLS.AdditionFactorItem,3
SLS.Invoice,26194
SLS.InvoiceBroker,3461
SLS.InvoiceItem,65031
SLS.InvoiceReceiptPosInfo,0
SLS.ItemAdditionFactor,1
SLS.PriceNote,1
SLS.PriceNoteItem,3
SLS.Quotation,11
SLS.QuotationItem,6
SLS.ReturnedInvoice,2
SLS.SaleType,14
WKO.AbstractProductOperation,8
WKO.AbstractProductOperationItem,82
WKO.FormulaBomItem,984
WKO.FormulaBomItemAlternative,3
WKO.ProductFormula,120
WKO.ProductOperation,8
WKO.ProductOperationItem,76
WKO.ProductOrder,1947
WKO.ProductOrderBOMItem,13604
