UnitID,Title,Title_En,Version,Creator,CreationDate,LastModifier,LastModificationDate
1,كيلوگرم,كيلوگرم,1,1,2018-03-05 14:01:33,1,2018-03-05 14:01:33
2,عدد,عدد,1,1,2018-03-05 14:01:37,1,2018-03-05 14:01:37
3,كيسه,كيسه,1,1,2018-03-05 14:01:40,1,2018-03-05 14:01:40
4,نسخه,نسخه,1,1,2018-03-05 14:03:32,1,2018-03-05 14:03:32
5,ليتر,ليتر,1,1,2018-03-05 14:05:25,1,2018-03-05 14:05:25
6,كارتن,كارتن,1,1,2019-05-08 05:42:20,1,2019-05-08 05:42:20
7,بسته,بسته,2,1,2019-05-08 05:42:30,1,2019-05-08 05:58:10
8,جعبه,جعبه,1,1,2019-05-08 05:42:50,1,2019-05-08 05:42:50
9,حلب,حلب,1,1,2019-05-08 06:04:19,1,2019-05-08 06:04:19
10,بطري,بطري,1,1,2019-05-08 06:04:53,1,2019-05-08 06:04:53
11,متر,متر,1,1,2020-04-23 07:34:15,1,2020-04-23 07:34:15
12,ماه,ماه,1,1,2021-06-07 16:25:47,1,2021-06-07 16:25:47
13,تن,تن,1,1,2021-11-01 09:54:52,1,2021-11-01 09:54:52
14,گرم,گرم,1,1,2025-09-21 15:08:57,1,2025-09-21 15:08:57
15,ريال,ريال,1,11,2026-04-28 17:08:32,11,2026-04-28 17:08:32
