PayrollConfigurationElementId,ElementRef,Coefficient,Type,PayrollConfigurationRef
43,118,1.0000,7,7
44,121,-1.0000,7,7
45,119,1.0000,7,7
46,129,1.0000,7,7
47,130,-1.0000,7,7
48,118,1.0000,1,7
49,121,-1.0000,1,7
50,119,1.0000,1,7
52,130,-1.0000,1,7
53,97,1.0000,2,7
54,99,1.0000,2,7
55,137,1.0000,2,7
56,139,1.0000,2,7
57,118,1.0000,3,7
58,121,-1.0000,3,7
59,119,1.0000,3,7
60,129,1.0000,3,7
61,130,-1.0000,3,7
62,97,1.0000,4,7
63,99,1.0000,4,7
64,137,1.0000,4,7
65,139,1.0000,4,7
66,118,1.0000,5,7
67,121,-1.0000,5,7
68,119,1.0000,5,7
69,129,1.0000,5,7
70,130,-1.0000,5,7
71,97,1.0000,6,7
73,99,1.0000,6,7
74,137,1.0000,6,7
75,139,1.0000,6,7
202,140,1.0000,8,7
203,101,1.0000,8,7
204,117,1.0000,8,7
